node1,node2,weight,weight_rescaled
2차전지,리튬,0.6564828049176882,10
2차전지,바이오,0.430970473796524,1
2차전지,반도체,0.41011540374635613,1
2차전지,배터리,0.6471615662095171,10
2차전지,에너지저장장치,0.5265260130330734,5
2차전지,이차전지,0.734711140510435,10
2차전지,전구체,0.618936679524465,10
2차전지,전기차,0.42620634433992305,1
2차전지,탄산,0.42698438892195545,1
2차전지,폴리우레탄,0.5074473199192748,5
2차전지,화학,0.4985168953048754,1
AI,무인이동체산업엑스포,0.4543136509387485,1
AI,반도체,0.413414627676082,1
AI,빅테크,0.47408207638834693,1
AI,엔비디아,0.5347026623912476,5
IPO,인수목적회사,0.47869935872339064,1
IPO,자사주,0.5147960494729977,5
IPO,테크놀로지,0.6312839147293277,10
LNG,리튬,0.4297346931298281,1
LNG,북한 광물자원개발,0.48053418994597114,1
LNG,원유,0.4161702504220509,1
LNG,원화강세수혜주,0.4626547982402696,1
LNG,조선,0.5654561490610223,5
LNG,폴리우레탄,0.4189362339128708,1
거래량,동원금속,0.5457204527025483,5
건설,건설 중소형,0.45572814681246093,1
건설,동원금속,0.43445455487681456,1
건설,리튬,0.41398829991741015,1
건설,의약품유통,0.4258015217126252,1
건설,조선,0.4641120600428921,1
건설 중소형,게임,0.422654827368924,1
게임,디지털 광고,0.4278656825735676,1
게임,바이오,0.43182526181881337,1
게임,콜드체인,0.42158319967352553,1
경기,경기 회복,0.4969135220428808,1
경기,경기부양,0.5750494323296103,5
경기,수출,0.4657784514187203,1
경기,업,0.6243060354657741,10
경기 회복,경기부양,0.6438712030408535,10
경기 회복,업,0.4592516567216156,1
경기부양,업,0.4445927009838876,1
광섬유,광통신,0.4997031729010868,1
광섬유,메모리 칩,0.453513964486122,1
광섬유,스마트팩토리,0.4405579881957117,1
광섬유,해저케이블,0.4248841918072977,1
광섬유,해저터널,0.4248962213780535,1
광통신,해저터널,0.4112652432789388,1
구리,철강,0.48509342896842667,1
금리,반도체,0.4350203284550362,1
금리,인플레이션,0.6655432044762881,10
금리,환율하락,0.5787775987664826,5
동국제강,전구체,0.443140145301106,1
동국제강,폴리우레탄,0.4584488378949673,1
리츠,부동산,0.458762083830057,1
리츠,자본 리쇼어링,0.5172083496461052,5
리츠,재벌,0.4611468853512356,1
리튬,바이오,0.48281365432454154,1
리튬,반도체,0.43555774405888603,1
리튬,배터리,0.6264373957709306,10
리튬,에너지저장장치,0.43951441729185836,1
리튬,이차전지,0.4808113211526844,1
리튬,전구체,0.5539178251510313,5
리튬,전기차,0.484021930418649,1
리튬,철강,0.4307895909578663,1
리튬,탄산,0.4384929418010747,1
리튬,폴리우레탄,0.47671191244589706,1
리튬,화학,0.5544791440954676,5
메모리 칩,엔비디아,0.49577350851260205,1
메모리 칩,파운드리,0.47844323178339687,1
무인이동체산업엑스포,스마트팩토리,0.42580627472234145,1
바이오,반도체,0.46119215279761705,1
바이오,배터리,0.5023627360046473,5
바이오,신신제약 대웅제약,0.44403419112624637,1
바이오,신약,0.42009144284763345,1
바이오,알츠하이머,0.5104473307114201,5
바이오,의료기기,0.46665509266034055,1
바이오,의약품유통,0.42762009879668983,1
