node1,node2,weight,weight_rescaled
2차전지,강관업체,0.45268740295751064,1
2차전지,단열재,0.43572639610103686,1
2차전지,두산로보틱스,0.43547598915786656,1
2차전지,전구체,0.6176029541396504,10
2차전지,탄소포집,0.49806405647941887,1
2차전지,폐배터리,0.42834336875670764,1
2차전지,해상풍력,0.5718150528821982,5
CJ CGV,HD현대중공업,0.48221222879085573,1
CJ CGV,두산로보틱스,0.43585012498444864,1
CJ CGV,토스뱅크,0.45188866058672605,1
HD현대중공업,두산로보틱스,0.4830552000174084,1
HD현대중공업,조선,0.43959097011982873,1
HD현대중공업,토스뱅크,0.4123860484644008,1
LNG,"석유화학, 정유",0.4948455213643597,1
LNG,폐배터리,0.5747139085256292,5
LNG,해상풍력,0.5135445023747937,5
강관업체,건설,0.41419132716354334,1
강관업체,철강,0.4778504329244411,1
강관업체,폐배터리,0.542927338986419,5
강관업체,해상풍력,0.44612427291873946,1
건설,해상풍력,0.41394383454796374,1
건설 중소형,재개발,0.4109064790912927,1
건설 중소형,주택공급,0.43025263668837416,1
금융,금융지주,0.46306622600881986,1
금융,대출,0.46242270427822474,1
금융,주담대,0.4262953154106963,1
금융,주택공급,0.4130209062589803,1
금융,토큰증권,0.43840644147341956,1
금융결제원,금융지주,0.5682196074599996,5
금융결제원,토큰증권,0.48941554846484764,1
금융지주,보험,0.4829461470339731,1
금융지주,토큰증권,0.4269687017256888,1
단열재,전구체,0.5529628358643395,5
단열재,탄소포집,0.5203096824379836,5
대출,재개발,0.4299687899117002,1
대출,주담대,0.5767307198640494,5
대출,주택공급,0.5457998981348013,5
두산로보틱스,토스뱅크,0.43266630098751147,1
두산로보틱스,폐배터리,0.46509649247262147,1
두산로보틱스,해상풍력,0.4161736232352101,1
디스플레이,폴더블폰,0.5707290466447408,5
벤처,토스뱅크,0.5120051007090276,5
벤처,토큰증권,0.4702893598667549,1
부동산,아파트,0.4624366727272654,1
"석유화학, 정유",정보보호,0.47533011896230404,1
"석유화학, 정유",해상풍력,0.4767231018308008,1
우주항공산업,항공기부품,0.43908413338110247,1
인공지능,챗봇,0.4802933773293528,1
자동차 대표주,전기차,0.4420667177231163,1
재개발,주택공급,0.46480269646885986,1
전구체,탄소포집,0.6782665616900813,10
전구체,폐배터리,0.4189059756950653,1
정보보호,해상풍력,0.47137908422450947,1
토스뱅크,토큰증권,0.5741651690632654,5
폐배터리,해상풍력,0.5086258340263752,5
