node,count,count_rescaled,cluster,AI_summary,cluster_name
2차전지,38,38.75,4,"최근 이차전지 종목들은 주식시장에서 극심한 쏠림 현상을 보이며 높은 주가에도 손바뀜이 잦았습니다. 에코프로의 회전율은 766%로 코스닥시장 평균의 2배가 넘었습니다. 최근에는 2차전지주가 일제히 강세를 보이고 있으며, 에코프로와 에코프로비엠의 주가는 상승세를 보였습니다. 이차전지에 대한 쏠림 현상이 정점을 지났으며 이제 주가가 하락해 정상화될 것으로 전문가들은 분석했습니다. 그러나 수급의 힘이 여전히 강하므로 주가 상승 여부는 지켜봐야 한다는 의견도 있습니다.",기술 관련
ESG,10,23.75,4,"환경부는 ESG 공시 도입을 논의하고 있으며, 환경정보 측정과 기업 역량의 중요성이 커지고 있다. 금융기관과 ESG 평가기관의 의견을 수렴하고 관련 이해관계자와 논의할 예정이다. SK이노베이션은 ESG 디자인을 강조하며, 디자인 협업으로 사회와 미래 세대에 선한 영향력을 줄 것이라고 밝혔다. 하나금융그룹은 인천광역시청, 금융감독원과 협력하여 중소기업의 ESG 경영을 지원하는 업무협약을 체결했다. 이는 금융권과 지자체가 협력한 최초 사례로, 중소기업의 ESG 경영 지원과 수출 경쟁력 강화를 목표로 한다.",기술 관련
MSCI,4,20.535714285714285,4,"MSCI 테마의 이슈와 전망을 요약하면 다음과 같습니다. 한국지수 구성 종목 변경에 이변은 없었으며, 최근에는 편입을 예측한 사전 매매가 활성화되어 주가 및 수급 패턴이 복잡해지고 있다고 평가됩니다. 이번 정기변경에서는 패시브 자금 유입을 활용한 차익실현 매물이 시장에 풀리면서 주가 상승효과가 약화될 수 있다고 전망되며, 11월 정기변경 편입 후보 종목은 금양, SK텔레콤, 포스코DX, 현대오토에버 등이며, 모니터링이 필요한 종목은 LS, 현대로템, 에스엠, LS ELECTRIC, 씨에스윈드 등이라고 설명됩니다. MSCI 한국 지수 구성 종목에는 에코프로, 한미반도체, 한화오션, JYP Ent. 등이 새로 편입되고 CJ, 이마트 등 2개 종목이 제외될 예정입니다. 금양은 오는 11월 정기변경 편입이 가능할 것으로 전망되며, 금양과 SK텔레콤, 포스코DX, 현대오토에버 등이 11월 정기변경 편입 후보에 오를 것으로 예상됩니다.",기술 관련
게임,38,38.75,4,"게임사 위메이드가 경기 침체로 인해 고용 한파가 이어지고 있지만, 인력 채용을 크게 확대하고 있어 눈길을 끈다. 이 회사는 올 상반기 연결기준 인력 규모를 1700명으로 증가시켰으며, 지난 4월 출시한 신작 게임 나이트크로우도 성공적인 결과를 이끌어냈다. 또한, 위메이드는 게임 사업과 블록체인 사업의 어려움을 겪었지만, 채용에 적극적으로 나선 것은 사업 성공에 대한 자신감과 뚝심이 발휘한 결과라고 분석된다. 파우게임즈는 하반기에 게임 개발과 운영 역량을 강화하기 위해 파우게임즈를 인수하는 등 모바일 MMORPG 경쟁력을 강화할 계획이다. 네오위즈는 하반기에 브라운더스트2의 성과를 반영하여 실적 개선을 기대하고 있다. 또한, 썸에이지는 모바일 RPG 마녀자판기를 국내에 소프트 론칭하며, 국내 시장 공략을 위해 안정성을 점검한 후 글로벌 정식 서비스를 진행할 예정이다.",기술 관련
동박,6,21.607142857142858,4,"롯데에너지머티리얼즈는 스페인에 하이엔드 동박 공장을 짓는 계획을 발표했으며, 북미 시장 진출도 계획 중이라고 밝혔습니다. 이에 따라 올해 안으로 북미 생산 부지를 확정할 예정입니다. SK넥실리스와 롯데에너지머티리얼즈는 동박 시장에서 경쟁을 벌이고 있으며, 향후 10조원 규모의 시장에 대응하기 위해 유럽, 동남아시아, 북미 지역 등에 생산라인을 구축할 계획입니다. 동박과 분리막 시장에는 SK, LG, 롯데 등이 투자를 늘리고 있으며, 이들은 배터리 폭발 등 화재를 막는 역할을 하는 동박과 분리막이 필수적이라고 인식하고 있습니다. SK넥실리스는 동박 생산 능력을 확대하는 목표를 가지고 있으며, 롯데에너지머티리얼즈 역시 하이엔드 동박 공장을 짓는 계획을 발표했습니다.",기술 관련
모빌리티,7,22.142857142857142,4,"LG전자와 전주시가 협력하여 퍼스널 모빌리티 주차문화 정착과 지역상권 활성화를 위해 PM 스테이션 설치에 착수할 예정이다. LG전자의 PM 스테이션은 공유형 퍼스널 모빌리티를 주차하고 무선으로 충전할 수 있는 거치대로, 탑승자가 이를 이용하면 포인트 리워드를 받을 수 있다. 모빌리티 플랫폼 쏘카는 올해 2분기에 작년 동기보다 14.6% 증가한 16억원의 영업이익을 기록하였다. 또한, 다른 모빌리티 플랫폼인 일레클과 모두의주차장도 매출을 크게 증가시켰다. 모빌리티 토큰증권발행 전문기업 카스투게더는 중고자동차 경매플랫폼 마이카옥션과 MOU를 체결하여 매입보장 거래를 제공하는 경매 서비스를 추진할 예정이다. 이를 통해 안정적이고 혁신적인 상품과 서비스 개발이 가능해질 것으로 기대된다.",기술 관련
반도체,47,43.57142857142857,4,"1. 대만 TSMC가 대만 남부 가오슝에 최첨단 2㎚ 제품을 생산하기 위한 투자 계획을 확정했습니다.
2. TSMC는 선진 제조 공정 투자를 대만의 다양한 지역에 진행하고 있으며, 이번 계획은 대만 북부와 남부 지역에 처음으로 선진 제조 공정 공장을 설립하는 것입니다.
3. 한편, 국내 주요 반도체 장비 기업인 원익IPS의 영업 실적은 반도체 불황으로 큰 폭으로 하락했습니다.
4. 원익IPS는 증착 공정에 사용되는 장비에 특히 강점을 가지고 있으며, 올해 2분기에는 매출과 영업손실, 순손실이 모두 감소하였습니다.
5. 미 달러화 강세와 반도체 부문 개선 기대감으로 외국인의 국내 주식투자자금이 다시 순유입으로 반등하였습니다.",기술 관련
배터리,15,26.428571428571427,4,SK넥실리스가 독일의 배터리 제조사 바르타에 동박을 단독 공급하며 유럽시장 확장에 속도를 냅니다. 이를 통해 SK넥실리스는 유럽 시장 내 중장기 동박 수요에 대한 점유율을 확대하게 됐습니다. LG에너지솔루션의 배터리 시장 점유율이 CATL에 따라잡히고 있다는 분석이 나왔습니다. LG에너지솔루션은 상반기에 55.1%의 성장률을 보이며 성장세를 보였습니다. 중국 기업 BYD는 상반기 배터리 사용량이 전년 대비 588.4% 증가하며 가파른 성장세를 보였습니다. LFP 배터리 사용량 변화와 중국 업체들의 시장 점유율을 지켜봐야 할 필요가 있습니다.,기술 관련
수소,45,42.5,4,"프랑스 정부는 전기차 보조금 개편안을 발표했습니다. 이번 개편안은 전기차의 탄소발자국 점수와 재활용 점수를 추가로 반영해 환경 점수가 최소 60점 이상인 차량에만 보조금을 지급하는 것이 핵심입니다. H2 MEET 조직위원회는 H2 MEET 2023에서 산·학·연 수소 콘퍼런스를 개최한다고 밝혔습니다. 이번 콘퍼런스는 수소 및 탄소중립을 주제로 논의할 계획입니다. SK에너지는 인천 내트럭하우스 부지에 대형 수소버스·트럭 충전이 가능한 수소충전소를 운영한다고 밝혔습니다. SK에너지의 내트럭인천 수소충전소는 대형 화물차 60대, 수소 승용차 24대가 충전 가능한 대형 수소충전소입니다.",기술 관련
인공지능,14,25.892857142857142,4,"1. 제83회 전미경영학회 연례회의에서는 신인류, 신기술, 신시대가 도래하여 기업이 퍼펙트 스톰에 직면하고 있다는 이슈가 논의되었습니다.
2. 인공지능 기술은 경제와 사회 문제를 해결하는 데 기여하며, 정부는 이에 뒷받침하겠다는 발언이 있었습니다.
3. AI 산업의 발달은 거대한 시장을 형성하고 생산력 향상과 일상 생활의 질 제고를 기대할 수 있다는 전망이 제시되었습니다.
4. LG전자는 AI를 활용한 절전 기능을 갖춘 가전 제품을 개발하여 전력 관리의 효율성을 높였습니다.
5. LG전자의 신제품인 에어컨에 탑재된 AI 기술은 냉방, 제습 및 절전을 자동으로 관리하여 에너지 절감을 도모합니다.",기술 관련
