일자,IPO,LCC,OCIO,거래량,건강기능식품,경기 회복,경기침체,골프,금융,기계,농업,대부업,대출,대표주,디스플레이,리튬,바이오,바이오인식,반도체,배터리,비트코인,세포주,수출,시멘트/레미콘,신용융자,암호화폐,약제조업체,에너지,엔터테인먼트,외환보유액,원유,원화강세수혜주,유가,인수목적회사,자동차,자동차 대표주,자동차부품,자사주,자산시장,자산운용사,자율주행,전기차,전력,조선,주식,중국기업,카카오,클라우드,탄소,폴더블폰,하이패스,항공,항공기부품,해상풍력,화학,환율하락,세,코스피,하도급
05/22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
05/23,100.0187211472959,99.29882340035977,100.15213200268332,100.54336540864408,100.78479332956603,100.99009900990099,99.65694123883239,101.53249902763393,99.65656111540919,99.49027637964227,100.70921985815602,100.12783623168173,98.64424971202678,100.3455650232322,100.52123556154142,102.06492338828181,100.77007728778158,100.66840147618822,99.83372733083179,102.17687130918898,100.09766705933612,101.33775244280456,100.52539404553416,100.91669935361875,99.99993485967744,100.2759791922313,100.9803063140316,100.1375022694696,101.21838911035282,101.11700427396775,101.64744536078585,99.54855377726936,100.95602294455065,100.01556687203905,99.46473627104609,99.86298358175968,99.83087382499653,100.07563697525126,99.95000707065181,101.53405780727218,100.06362398591244,101.10577731676894,102.21112825665524,99.77435981088233,100.10384215991692,100.60240963855422,100.29559058676278,101.68179316672507,102.77235065288318,103.62934693319374,100.82412652836857,99.64527884552284,99.73944927923712,101.71919770773638,101.52665929021862,99.77592677885995,99.85401459854015,99.85401459854015,101.68350168350169
05/24,101.14976400788332,98.18349636069634,100.95082001393938,101.18539242852765,100.58678582751446,100.99009900990099,101.54128786147132,101.53212915706007,99.74005097296974,98.91193708205252,103.54609929078013,100.44348345595404,98.297968444262,100.80052895910379,99.44907441154379,102.82772227539287,100.45623848131142,100.46155116869548,99.91869469940009,103.5074479419362,100.0608047217149,100.10560456780378,100.52539404553416,100.73235343469737,99.90264390221735,99.44083711650921,100.55741441601921,99.683179204425,99.51506071951609,100.34173436076203,101.56790887614373,98.73965789268874,100.5736137667304,100.95116725497226,98.91190306777888,100.34093487460838,100.34482526773047,101.21985743850689,100.17206648893139,102.88065060332696,98.17442730141944,101.08041358108142,102.33031237398609,101.59470521543888,102.3883696780893,100.60240963855422,98.3623803961792,100.02058161951912,103.61576059211235,103.64111615948232,99.61104412665944,98.65264056258025,99.88166488778681,102.1489971346705,101.38663625388263,98.88445339213104,100.0,100.0,104.54545454545455
05/25,100.37917865960213,97.24279957768661,99.73943557158495,100.81906780208188,100.3102016677017,100.33003300330033,100.9749313060339,99.28551949486555,100.12324703310081,97.80147068792989,104.07801418439718,99.43474092484306,99.14370995272924,101.64375704844329,99.97073251131329,101.7833419463916,98.37353476427272,98.33559578334747,101.07377248610823,102.81395553052157,100.23579471483795,98.3631709783783,98.07355516637479,99.28628061247458,99.44757786289468,99.22829130382682,97.84353450359185,99.2031136389734,98.66776250303307,99.22473008679428,102.32471423963474,96.99031868163456,100.38240917782026,100.27573109920054,97.70411140095881,98.05011829425338,98.4975419904757,100.50188866377245,100.08745336701044,101.35560309240998,98.84416581737364,100.68300605258882,101.22169007644565,99.35718017174315,101.14226375908619,98.19277108433735,98.06431707457254,99.41269299247692,102.47028053134757,104.12364167769826,99.78458768908014,97.4114620079067,98.55271682126491,101.5759312320917,101.90079017108143,97.15963474786487,100.43795620437956,100.43795620437956,103.36700336700338
05/26,99.29304422831974,96.30644485524856,99.12500003196844,100.16001838674235,100.84412580150772,99.5049504950495,100.07322977233233,97.08558588496429,99.92326519877827,96.2924339224021,100.0,98.2041896359068,97.15231205911388,103.59276966880142,100.54604425861575,99.90162034148845,98.0690753579885,98.15210163021614,103.72353281637785,101.70724031033443,100.1497424753974,97.55562804117112,98.9492119089317,98.4003217575085,99.06671357282431,99.09974979181048,97.99320028795653,97.8107284161452,99.04314313292804,97.74253713253523,100.78684899041919,94.60894064885687,97.89674952198853,99.33246426121539,97.35443329907196,98.30827009017324,98.58604297922817,99.50451265972048,99.37391739944856,100.54392684076885,96.37417592140004,99.4193446371271,100.52842522919923,97.82021077799176,100.51921079958464,100.60240963855422,97.68282260554099,98.0932793955112,100.34667541174728,103.31705559225854,99.13247057064446,96.63539666310292,98.31895165723262,104.58452722063036,100.25694413244646,95.58453965082931,102.62773722627739,102.62773722627739,102.6936026936027
05/30,99.64756100775135,95.3872899098914,100.27930165320178,100.76656095696217,100.48499171941434,99.00990099009901,101.05410613407761,98.62299293370054,99.9758959629096,97.02433736398648,98.40425531914893,100.03296881729918,96.94708090758,105.85213187320512,103.77436871013425,100.72226429893745,98.0241031352663,98.1000821051266,106.41375970136929,103.14165354489279,100.62489326909896,97.90358464159203,101.05078809106831,97.80625755612007,99.91281560218343,100.2763399614804,97.78084406368633,97.3237886570594,101.15075828238585,97.51913627774168,104.89375179680538,95.01534191582103,96.94072657743786,98.80336385594812,94.83027084482704,96.41664949973968,96.98838224962549,99.15768917130814,98.61319763324677,100.08720051859001,101.01104208972112,102.29346961313044,100.09960288452679,98.54646492649249,100.62305295950156,102.40963855421687,97.9473905350782,99.34481265849972,101.0495059526209,106.51410274306407,99.54392770328721,97.44072704544689,97.54172066457097,103.43839541547277,103.9058649893587,95.53720642673724,105.54744525547446,105.54744525547446,104.04040404040404
05/31,98.930059428992,97.0053909021294,100.22080405608868,102.24427496183826,99.45106049668449,100.16501650165017,100.23359269782199,97.44092693284112,100.02870612541803,96.87567047975661,97.87234042553192,99.84319243586874,97.36540328526904,105.42390104786456,103.76690254083663,103.97555013108972,98.70160730349134,98.77648456631391,105.04368799093933,105.41346720526606,100.13540862621666,100.49895143363318,99.82486865148861,98.0624050155274,100.79727139798005,99.81144328740336,97.96479763869786,97.16653910407356,100.39183813264039,103.37754513619008,103.77624202823472,95.20156641057524,96.74952198852772,98.18866634912533,93.64245667926247,96.77332714839305,97.02336328412194,98.26489601253176,98.17162239436516,99.7946026360954,100.6938293357729,101.64345488967143,99.65828648651899,97.42547452855875,99.89615784008308,98.79518072289156,96.88953890159169,98.69673411279992,104.21222565152432,106.34410115884864,99.08719960754682,97.67343194898527,97.4263996955863,101.5759312320917,102.89836564001274,96.01113412266643,104.23357664233576,104.23357664233576,103.03030303030303
06/01,98.72909803347973,95.95382028439812,99.11755285872775,100.94515654757794,100.23084188359938,100.0,100.48662368051767,98.97833398157738,99.85989043153714,97.23852988320807,98.22695035460993,99.33572906358313,97.62246277112546,104.57893824071316,104.0708041240423,104.01159931503044,100.1535291427736,100.09920243328725,104.64854040446956,103.8262509106539,100.54770048706487,104.10827954643212,101.05078809106831,97.86196544651737,102.85965054506212,101.00018685384377,100.64255794811893,97.13903865017964,100.4824986683218,113.85239199457892,106.30305977786882,94.37029750811655,96.5583173996176,98.39180724851002,93.67262115956262,94.95495933502023,95.63755726875162,98.63614477876745,98.61496745618618,99.26053800788173,100.59010446599088,102.78102498039692,99.39435179729188,96.41801611775595,100.72689511941849,100.0,96.68884223536061,99.91886205409835,104.37180844199023,106.81936311613282,99.49411799369821,96.41027715634348,96.60220171240023,102.4355300859599,105.10224592287354,94.9820798970881,103.50364963503648,103.50364963503648,101.85185185185186
06/02,99.98811789950085,95.47666562925471,100.30676303276019,101.89229705267813,99.90697464467266,99.83498349834984,100.45836342885733,99.59252007286679,99.95350258785345,97.95791942329669,98.04964539007092,99.9626093058673,97.83732764846623,106.05114323630764,104.20204768745248,106.79341729758778,99.54509159275068,99.50493145307092,106.27599091509019,105.00545654148732,100.3589107899198,103.70638091173446,101.05078809106831,98.49751273626384,102.66118137699766,101.13037410848418,99.6486808406207,97.35464739761366,98.71884385065131,112.39365335984914,108.08570580859565,94.42212693075034,97.131931166348,99.6530071885461,95.91035479262739,96.05788538003155,96.68032484633694,100.15962301752594,99.57896370917913,101.01924895591259,99.63717774011769,105.43457895264568,103.40106633659923,97.39061889363954,102.59605399792315,99.3975903614458,98.37320111816454,99.43386455148779,106.35565827344604,106.05166076527605,101.09102787795705,96.26307383820803,97.01866917744807,102.86532951289398,106.70603854125773,94.9412777307275,105.40145985401459,105.40145985401459,104.04040404040404
06/05,102.35151729977854,96.00238525921408,100.9584639570684,102.97750630244538,99.82382616400976,99.83498349834984,100.50223267551502,99.82904423421084,100.61558761099143,98.4225872261767,100.35460992907801,100.98151251424095,98.47210132271232,105.58244708738582,104.13418329130573,107.93264026494126,99.02075449714911,99.0308832863465,105.42370227685991,105.92666112532314,101.64736408494066,101.45419617422849,102.45183887915937,99.58135623646179,103.1555211133049,102.76506448021921,98.34979776486915,97.99547842302495,97.83166089684885,110.87829501273158,108.78079661405276,96.13193601317462,98.2791586998088,101.9132965077086,94.58964430836531,97.20587936314935,98.06901680275779,102.5908803411702,100.63930878311862,101.74462774368405,100.376840288135,106.39994528708033,104.09662175115886,101.75873885653692,107.78816199376946,98.19277108433735,98.29629673406164,101.60091618508653,107.76724016236605,105.28523660026767,101.50284000541639,97.44854952747075,98.72694454782547,101.86246418338109,107.62706185116946,96.25139045706602,104.67153284671534,104.67153284671534,108.58585858585859
06/07,102.7549494414163,96.2965943759524,100.81640950524627,103.13474873917059,99.15177484523751,99.83498349834984,100.50223267551502,100.38511642924233,100.68663403860687,98.11800102422397,101.59574468085107,100.82167448065753,98.63199810761262,105.13247116363831,104.30331928920774,112.02600574281956,98.63843493532718,98.67829789585151,104.46451148347853,108.38912184004292,102.31739408779215,101.30276380663217,102.1015761821366,100.359338592874,103.29025067217177,102.49193227896856,97.53545492173534,98.53406080323825,98.37817858382533,111.18176989944217,111.76614366267725,99.87286398202303,99.61759082217974,102.49521835185813,92.7138957704021,92.75088507657331,94.20377233622409,102.9909271175969,101.24365534496438,101.38181540410099,101.79833878235674,108.22076332850182,106.29678441070529,103.72308587836814,108.41121495327101,98.79518072289156,98.9553840918999,101.94292298515151,112.1413913316386,106.44771907084814,99.64132741390654,99.13578907210803,96.9115017160504,102.29226361031519,110.06602345263876,99.60128115403269,103.64963503649636,103.64963503649636,109.25925925925925
06/08,103.52696228429696,95.89994227522855,101.09141278858588,102.97897221107534,98.08396079191397,99.5049504950495,100.40184292553667,99.73513732376354,100.33432668602525,96.98974815674309,100.88652482269505,100.76269936817938,98.17327305145173,104.76596094431,103.79281603888127,110.87631535616131,98.12209806491447,98.17720836847144,104.55518160347064,106.40783840245622,102.22820091794516,100.06071858463885,101.05078809106831,100.49608279182698,104.24766332269022,102.56850762113785,96.4550886602072,98.15784421615807,97.88026852326878,112.05701308028004,108.01719347991627,100.73630854208236,98.8527724665392,102.91114420937875,92.12088687474565,92.06207577711811,93.75702217969152,103.29569031320278,101.25944372973672,101.83203217408246,100.33736176423224,106.3933074419692,105.45049650799479,104.94695082035363,109.03426791277258,98.79518072289156,97.50187186375845,100.60050428655217,111.53681753928693,104.98872347623922,99.01132614724625,98.52424413370193,96.8500919717523,102.4355300859599,106.78641467353933,100.44047257265663,103.50364963503648,103.50364963503648,110.6060606060606
06/09,102.9499888168919,95.77644928779618,102.04553106105274,103.35387102568924,98.49082034018069,100.16501650165017,100.20008146773627,100.03033018722627,100.37948613463624,96.9037575327597,100.88652482269505,101.26969489156383,98.78702417506528,107.12824905030776,103.58324158560453,111.24615870652768,99.55283520499418,99.62163518256544,106.71247057111788,108.55367124624647,102.21785909886381,100.09942102885627,101.05078809106831,100.46536948534896,103.8005847266893,102.43930892282842,96.84620353661178,100.52690350770182,100.61873721699628,112.36048796699063,109.12028209727806,101.13785822293599,104.58891013384321,102.47470239809513,92.74848547597733,93.84177886163384,95.08880466978185,103.02348826972269,101.10819367630381,101.85947396300918,100.90380084666756,107.06001433490333,107.04005998062334,104.10898514093357,107.68431983385254,100.0,97.64853848355104,100.54724878935546,111.9250393388123,107.33024273959322,98.59600211812733,99.2614040561408,97.84412962161252,109.59885386819484,107.84094403261287,101.00001729916978,105.1094890510949,105.1094890510949,108.92255892255893
