일자,2차전지,5G,ADC분야,AI,AI 챗봇,ELW,HLB컨소시엄,HSD엔진,ISDS,LG화학,LNG,MLCC,MSCI,SK이노베이션,SPAC,거래량,건강기능식품,건설,건설 중소형,게임,경기부양책,골프,구리,국민연금,국제투자분쟁,군사정찰위성,규제,그린수소,금리,금속,금융,김치,니켈,대부업,대출,두산에너빌리티,딥러닝,라면,롯데그룹,리츠,리튬,물가,미디어,바이오,바이오제약,반도체,방산,배터리,베트남,벤처,보안주,부동산,블록딜,블록체인,비트코인,상장,세포유전자치료제,수출,스마트물류솔루션,스타트업,스팩,시멘트/레미콘,시큐리티,식품,신한금융,암호화폐,에너지,에너지솔루션,엔터테인먼트,엘리베이터,영화,영화관,위메이드,유상증자,유전자 치료제/분석,의료기기,이차전지,인수목적회사,인플레이션,자동차,자동차 대표주,자본성증권,자사주,자원개발,전력,전쟁 및 테러,제강사,조선,종합상사,주사제,주식,주택,중국,증권,채권,천연가스,철강,철도,첨단,최저임금,충전,커머스,컴투스,코스닥,코스피,클라우드,타이어,텍,파운드리,핀테크,합병,항공기,항공우주,해외직접투자,해운,화학,환율하락,희토류
06/05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
06/07,107.36510106537224,100.13800547362541,99.63934093655892,103.58908379665499,106.63809469632062,100.81035879994286,96.34004262903046,99.742089866041,99.89176343219938,102.48218819764163,101.09196882074498,100.49789667220539,99.8266897746967,103.2619322101266,100.8333758854261,100.67456568838355,97.37929333707164,100.89101060158076,100.87484993434617,99.45899217319531,,100.55702446046351,101.10905433354228,100.66111792128214,100.01961704309377,100.2309468822171,99.73521802094656,100.82250531726528,102.09302325581395,101.2398573118659,100.2489768150046,101.33269710306708,102.76706284899615,99.73113705006794,100.07280910404397,100.18507149892086,103.74679480277543,100.28092331161258,101.8280032952578,99.86908156795788,102.60548448333302,98.29642248722317,100.59784043239324,98.70825326104371,98.09131770663087,98.9587167580656,99.46148198567505,102.15711287630663,99.95446234160401,99.17879636527394,100.68007332437094,99.3975903614458,100.24953770426141,100.53722707365016,99.84563855267555,100.85267443471986,98.45675325767196,99.84247712817749,98.55190888450834,100.01503239627816,100.06624592574715,100.36763640289305,100.33596248673197,100.6988449958957,99.73485510766899,99.83416244578791,100.5495992150662,102.67833267187368,100.56127265732667,101.36882005589938,99.13118496274109,99.13846160336712,103.76297418171323,102.61660009180412,99.6007906488222,99.79673036174593,102.75182387557575,101.05390707892425,,101.15455419642927,96.77611206493829,99.74698834004539,101.59129355449714,101.5139355508593,102.1479711577482,100.84619960869317,101.04481992501728,100.18320790273106,101.28343709345036,99.60411919610533,100.37333818582066,100.2844987366921,99.67368980612838,100.4620016737062,99.59336732291504,99.57454889678584,101.0388995482391,99.49581216909291,99.55009368445997,99.3266871568932,96.99149397436533,100.53535641344789,102.59427373687014,100.74231177094379,99.06460101735092,100.0,96.04801124760131,100.12774105526177,99.03069464644419,99.83577966132638,101.21391250526457,101.54293176812246,101.0642132891866,100.59058388838358,99.816944688977,102.9988217077752,104.39356345266526,100.18026193477169
06/08,106.95186315946536,99.58409562404246,98.25483086221733,100.84126969890315,102.47029690631442,101.814110442992,96.31885352204552,99.97964476525452,100.07998329084104,100.49406251425535,102.31802104803118,99.64182329389824,108.31889081455806,101.35143602814773,102.0202083147579,100.5942102331868,96.44382973194145,100.5123845110755,100.40534519955216,99.39949434234312,,99.90593227535368,99.84114901620026,100.40558485020384,100.07794125103817,99.07621247113164,99.37375676072742,101.76334162380823,99.88372093023256,100.12916808796784,100.28029991821545,101.87449213721055,102.21459019360427,99.57801164911669,100.64189362000545,101.8645122705631,101.73530467257166,100.85711008165836,100.07031899334558,100.03022753688431,101.99156569013496,93.52640545144804,100.44011361342848,97.05196099159147,99.51482544953583,99.05618124520075,99.03235910566252,100.49965278770321,106.17075576861652,99.23182412873781,100.61225660513446,99.27710843373494,101.83394912532322,99.19924622906652,100.11623355213572,101.44048928156239,98.3094930352263,99.69023023118592,101.69357411105271,99.79027555366893,100.31994837206113,100.38971311275138,99.59724298800494,101.31277501617278,99.96804008650857,100.06187496958259,100.16568702530562,101.86038287661366,100.20817226625844,101.3959368317382,99.17957136225814,98.00634074296684,102.37107521012857,101.16288943701754,99.08792613835641,99.62107811909281,102.40848656065647,100.9751471831029,,99.69792214118351,96.57308373871751,100.01387149694307,100.65168940561958,103.7750457879012,101.37845389995093,101.02807402757907,101.14341313543235,100.93404036506266,102.29386057148413,102.63545477914558,100.87072735520822,100.26885360376423,99.67795964102996,100.74600158173428,99.74050557389853,100.07102018875375,103.31774362471839,98.44117117061316,98.68501706345747,98.74997322479665,96.77079030709628,100.90441272109413,101.94075109698355,101.37857900318134,98.95551554518325,99.74543173126128,95.76381984621047,100.0172280198561,98.89638174681615,96.14425549502718,101.00668342014718,100.82498845180356,101.8419427764378,101.42615261901304,99.38913452546223,101.22517515067089,105.42816674519607,99.69428418333665
06/09,107.83788492891844,99.53210757704777,98.71300061863157,101.90460226356308,104.61495967176617,101.8749845592198,96.31213432053485,99.82015684615679,100.95681770130437,102.79217904102842,105.0813349825832,101.82580356302498,105.37261698440207,103.18199320876793,101.39908574137924,101.66961689738187,95.67316313779749,100.12837845237215,100.08730049645098,98.96038547143317,,100.20163065224104,99.67931408471942,100.66874738400338,100.51505876147601,101.15473441108544,99.94453852127143,105.20125776193161,99.88372093023256,99.97696706618093,100.13207635449429,100.89267427869994,102.51853257125046,100.14737338616445,100.25544141443675,104.26915511281642,104.5596015528616,100.1721819592114,100.2559293493265,100.67682419808924,102.39024185773489,95.74105621805792,99.99295633021033,97.21544307941123,98.80914103697279,100.94866876950957,102.57081209885439,102.82151572320302,105.45966627211432,99.48211104491294,101.27556820122787,99.27710843373494,103.62989453478248,99.2805886386746,99.92736431043858,100.89429703571054,99.53036867339826,101.83346221652707,102.79302498972973,102.0736325635921,100.65300311182675,100.26576916474765,99.99265225805145,101.05045270400545,101.32082278157827,100.03206765137105,102.58320600645393,103.38386161808701,103.25921456491318,101.13818505373867,98.57504553158154,98.99392677456002,107.93887111543832,102.72382512688694,99.27877467143753,101.39989077480189,102.8259846824679,102.01148956739834,,99.89929272489405,97.35255146760456,101.14151494477896,101.98372500305541,107.6667081590327,102.83828257434125,100.48449306686958,101.2744265765441,100.36204197390515,103.80365901982114,102.25868059579773,100.7653967421,100.0994933972092,100.83154314160257,100.14943369386957,100.1434530232746,100.27147331111405,102.73835885873186,98.96137988949036,98.7137751502598,100.95483077362846,97.56100814739277,100.68504002203169,103.51738192861073,101.80275715800636,100.50208957254164,99.51393985712073,97.09109187825848,100.27271013037962,100.432435698462,95.54844335208196,101.27778482608207,101.45722285098411,99.58639575485594,100.20912591350137,98.9007786292222,102.83158115921755,105.88389907919806,101.17111616945553
06/12,109.45498794793349,98.77213349456736,96.58287240334698,98.20359740732431,101.84674988261378,101.89322383999328,94.69779904915168,97.38018819091911,100.04099918937126,102.99775357595334,104.4942794643843,103.75647190428406,106.58578856152513,102.55212239560892,100.97601829327769,101.67863289342944,93.9287173953358,99.74103877847101,99.53088850798379,98.13708597910538,,99.82258097386759,99.80170134147728,99.55430589799337,99.32580381027472,101.15473441108544,99.3841419219105,103.51958666393315,98.72093023255813,100.31524981021916,100.07276697281814,100.88146101700633,103.20372123930088,99.43863696822702,100.65684060069711,102.56041563805694,102.10432575014946,99.82203765296879,100.04481273803849,99.74273572770916,103.8377131399537,95.05962521294718,100.42995220427483,95.99315499339257,97.21997669805799,99.74467467661636,102.56021350975534,103.18870024154386,104.57801902691213,98.63142202792582,100.84867154582709,98.67469879518073,102.51864872050294,99.2021876227925,99.72336067484986,101.3884291657506,97.12545100148063,102.47989301613016,100.84987177275755,100.21552473153645,100.33346632927189,99.61886436860006,99.85143180891858,99.76392382016512,100.13994598353564,99.79803128453567,100.0526989836251,102.98781463453868,106.49506026447133,101.48922720158752,99.14030583598756,98.0714521724152,103.17944106989816,102.16170268458337,97.8038849374866,100.7035713082838,103.66091019940062,104.44103951892254,,101.5392107324684,96.56254619622587,100.06632291854487,101.17445120912501,105.46782813135668,102.06413212239538,101.01965909092554,101.53323166377666,101.07318825739502,102.47769033048037,101.43177740721244,100.32253523951731,100.04411199080106,100.06862685887708,101.216853384211,99.54512332042111,99.42900067198399,103.01664022926565,98.92830621936145,99.33214777599471,100.86110303804163,97.16471199031047,101.21688201922463,102.81757071969331,99.68186638388123,99.1047231080706,99.44783914584734,96.33773129820221,99.40264197134587,99.04048132856708,95.59984288923047,100.31078122080514,101.56069921596122,101.01719883080793,99.33374935509231,99.65294330685404,102.4340097117513,104.7069182626047,100.84491323694225
06/13,114.82861419939994,98.68611606793665,95.82398519805722,98.88184806718202,101.84800463410414,101.4108237741838,94.3022783442774,97.7874086266031,99.64578831841247,102.71000880834393,104.16681761781152,106.33167910927213,106.41247833622182,101.35854845507465,100.8979604748466,102.19676704973895,92.80432917193964,99.42698739868204,99.08576467193451,99.18453143722267,,95.75930067545306,100.97004987532534,98.77858860240339,99.14914059330161,99.53810623556582,99.23446701175946,104.82737177723764,100.0,101.6681576103417,99.61317370735493,101.39984756673496,106.17970546259438,99.36953027361618,100.21012160631386,103.11515886088772,100.69553067790982,99.56957763971374,99.64594621401946,99.54326909340993,106.75249384760642,96.59284497444634,100.1602454129792,94.98539277402348,97.29032603358388,101.47439130433523,103.45185319337453,102.51346124691787,104.20500143370207,98.9703608446007,101.0164993525787,98.43373493975903,101.94702764911885,98.99438969344571,99.74349564719024,100.4987191890294,96.6394073667597,103.88402243591595,104.4760105186878,100.28286755915035,99.9033968869695,98.61625536676723,99.81262469504783,99.46299982227029,99.7271529473766,99.96999722961549,100.9081392916807,102.04527281017812,107.06907407556099,101.39185476189361,99.67913891268012,98.0608481284776,102.59900965134865,101.0287904723947,98.17035999134899,101.89610789734888,106.34291874803058,108.9995316229124,,101.54743444882337,97.4039766946019,99.759643649142,100.03561778536923,107.38277411967663,101.2237390151278,99.78322030959802,102.32188490129053,99.68989952537642,102.16205758976167,103.726937390341,99.88237396915683,99.62371018448638,99.98626061442087,100.44572065586637,100.16909789232422,100.49051111747156,103.84348708065157,100.35264250606465,99.52185128255199,101.58320981246773,98.00491804190474,100.45597446236036,101.7097275136895,98.93955461293743,100.47848857552901,99.7368826217997,96.82477353390662,100.78711995539787,100.45663077855858,96.06008622178247,99.68874413406596,104.99600824793292,99.72450431114103,97.92001103347059,98.27367262548793,101.2657567839507,105.5456828830548,101.22735576366335
06/14,104.92329767487844,98.80616287420338,94.60358571819681,96.95186428067043,99.68208708334731,101.57533958199494,92.08038754770872,94.65177654960422,98.85245849372022,98.95622180114539,103.68120582870004,102.3722100750844,103.98613518197575,98.73202253724925,102.0458644092698,101.56132307746803,92.01942424625801,98.6527436884869,98.24982402865157,98.11167262336728,,95.33293925677762,93.661373618811,98.16419207430278,98.38474864229792,97.6905311778291,98.4686791902257,103.5164018668815,97.90697674418605,100.62084909217377,98.7978522845894,105.45539618176791,98.67017020314293,98.06907312384911,99.84567926808606,102.64123927549072,98.3763638771855,100.09932906896731,98.95182772458179,98.5314157890542,99.06423432569721,96.08177172061329,100.18520362596234,94.51236101986544,96.53081588652263,101.37810383744328,103.35252043574383,99.91084740839055,103.45012124657502,98.51771431208691,100.54611162322864,98.55421686746988,102.29842461214311,97.76448372511933,98.39870948158219,101.39049076789668,95.50436125490236,102.93460334489315,103.86127124360488,99.90454897438389,99.60126587493222,96.60306573569846,99.10043409819683,100.77527781230988,99.1950304630373,98.45008898439825,100.6136369433118,99.79093414317745,107.60456634025401,99.83653685176436,99.86759993790791,96.6178607161341,104.09758883250706,98.77656187268266,97.5908721296488,101.03983200020379,99.2811452034113,110.0255565997272,,98.03282662742009,98.54677396276436,98.93791984274723,98.7593416522219,106.05362740023439,99.17154984401378,99.98490304296524,98.68367040790899,100.57432760233182,101.24804651588761,103.23655539518066,99.70726669376596,98.8028264018175,99.07348501202404,100.93544716082528,99.74050557389853,100.07470055081613,100.70626677957455,99.21040541951453,98.09565623419772,99.4119543634318,98.87064225694276,100.97651856354022,99.89924359192852,98.62142099681867,100.33451419535872,98.84824003560504,97.11553958698268,100.15186028306032,100.27932977336016,95.27707254257119,99.15010978450887,105.53472885850586,98.9098272286981,96.83616370930257,98.06791731837414,99.09233190230329,105.65915073745778,99.71666247888982
06/15,107.8068250130036,98.11613550607635,93.36707102430672,97.65193069336107,100.05004273748807,102.4059557881035,90.2823531229543,94.75019876446548,98.56912895270119,98.79086641348468,103.81724018453457,103.77819878404199,104.15944540727904,98.8288023652214,100.46723168453823,101.29553021702571,92.34202525428768,98.0060917876332,97.57768858885541,96.7756334777024,,95.19081878388582,92.68706936796222,97.89244184848081,97.48923834552768,97.22863741339492,97.91380723459235,103.04185112606427,97.09302325581395,100.17673844843398,97.78163984028564,103.43558824042933,99.54348072323846,97.94716681638613,99.59156543841307,101.50615499602547,97.92386232998955,99.42822229886022,98.23995585679003,98.39131201892216,99.97685885874283,95.22998296422487,99.59583541405271,94.34847041968779,94.5685471390892,100.958195492746,103.97187027014252,99.52391536916963,102.01659880984417,98.96706690861782,100.2383689429104,97.71084337349397,101.53761710434893,95.03865472412275,97.01479132622207,102.73861710549559,93.77824050075051,102.16624641524716,106.79168309654361,98.99087566090104,99.8549435329377,95.59736880109953,98.65438187559718,99.55043635551031,98.9486329248436,96.63704605674977,99.1884462011399,100.0025001285808,109.74841776989818,98.84421793283066,98.67047963643924,96.60237118051022,102.60137977472002,98.54511558016766,96.07713298882466,101.96286180850072,100.09845051563984,112.85543073496814,,98.25239458327005,97.83308312921788,98.8185414293288,99.07754553251546,105.59683276780278,99.23133716139134,99.70628797991392,98.68690185488693,101.41096732928303,100.80620888454206,101.01988066564283,98.88102672453715,97.89966865543434,98.93797216404094,102.00858593817684,99.40103080504292,98.29381498434986,100.33580870041925,99.63309620959129,98.20691529528102,102.26985055086644,98.22245474326789,101.4021175367021,100.00354601172874,99.57582184517497,99.8016545897585,98.51175830356304,96.59655759692333,99.0194188055606,99.7722052190806,93.13316399280546,98.54146854222483,104.63624657630226,98.82635437438401,96.75345527754695,98.48834071765165,98.77794748884796,105.64519740430221,98.14736819715148
06/16,110.50258223993852,97.82216589146687,93.64398323042906,98.09356176136998,99.85023650543859,105.62731640115454,92.50750795442333,95.2761966497562,98.81662627103124,99.94975747652114,108.60079526939055,102.82134482980373,105.54592720970537,100.64427182739566,101.26903355553742,100.2271778345492,93.07635949633455,98.46703434367858,98.08879929498158,96.97113988935878,,95.90160640033075,93.53425370389861,98.37528169286037,99.48555474982453,97.45958429561202,98.19498490495148,108.30824606546521,98.25581395348837,101.14130464652054,97.73217714379275,108.76786647611698,102.98658741561107,98.20310460178354,99.58284577798494,102.77972997928846,98.39457670737161,100.00731062644192,98.06097939419438,98.63611804216299,102.27108981580089,94.37819420783646,98.86959126742238,95.3973771179644,95.25058368093991,101.2541650002035,104.12882712348765,100.5010600644096,109.51023041848555,100.36922217968858,101.8429915096869,98.43373493975903,105.01190119927806,94.7059995684631,97.3962419010419,104.59314618693026,94.12329320125758,102.2617876261466,106.27269595313291,99.8205702780337,100.95646442483684,96.36205677331631,99.54154515868356,100.79615030620643,99.05014931352144,96.86916621178473,99.62489653004984,102.22453982437756,109.28250836294875,101.4272324742577,99.79759370728821,95.2850789267775,103.41454445543121,100.145839238197,95.56587755135182,103.15164838645575,101.98912724584446,116.14582700612964,,98.50841783049134,97.43640069580817,98.9148089206862,101.35404082359499,108.94173270294753,101.83762707016533,102.02911337575769,102.18786261936681,104.97142132328814,100.99431999047374,101.12950618491617,101.60904341128321,98.08717140670345,98.83038904846129,104.99938812917891,99.372340200388,99.72537166408183,104.27530859133256,100.65307081283142,98.39899285678297,101.39277922521961,97.9989126341243,103.6810040870216,102.47695590823783,96.71261930010604,100.21223428887345,98.58512265740474,95.90627549410111,98.36693111336695,100.17528114724728,93.69912427850431,99.02836511823172,109.45299429044921,101.56224068445448,96.73783752459613,100.03285639640123,100.60233365701785,108.39396955495081,98.80768157088576
06/19,112.35034395358821,97.54804289929736,95.10618081254158,96.53352397486385,100.18034671987472,106.65286117887425,92.38585877683465,97.32930010405539,98.19306584244313,97.71504312239416,109.62402051066627,102.43953812899622,107.10571923743501,101.5732832764882,101.50215669262079,100.25418675589344,90.97073513530354,99.49323185153355,98.94608528364736,96.44305166332582,,97.67857544144312,94.80827883543147,98.08272214668496,101.08087339149637,99.07621247113164,97.28061149061067,109.17627152040008,98.0232558139535,102.70469289968176,98.16581663399172,106.90756376412097,103.41995258211941,97.10632254806647,99.92180758310182,103.21626119229566,98.61960488497894,96.2368694997813,97.7858017102114,97.9124237431544,102.76435775215593,93.8671209540034,98.49728687417547,94.47210729561729,94.14853387294303,100.13811438145386,105.21446059598674,97.98447148930511,109.19190903079506,98.84330551731482,101.59332469681735,99.1566265060241,106.0421223088958,92.95403169004767,96.0793528057341,104.31464823914476,93.86310518847154,103.50604015756089,106.0791551109306,100.09763114030801,100.80239411014252,97.00939432614467,98.93949598720536,97.62732327699844,98.5536091822683,94.0712738089811,100.43987731014865,102.8824768736073,110.19396190162172,102.62123994395054,99.12703685251336,95.08707309275756,106.53451119871286,101.10907801573752,95.8622625437688,102.67488900279547,102.27134902259874,113.26451273328746,,99.1441917874018,97.7335004342189,98.43963428351806,101.749576204758,109.57247200448157,102.92557536974871,106.18428312617809,102.66814797750459,105.34280169411979,101.87109049555568,100.58483913077725,102.82500346426811,98.78715899897466,98.99369999415906,105.67288807059474,98.86008231149927,100.37246585209527,105.01538723042505,101.33183416588577,98.64921482054578,102.67892916473077,98.37691524595,104.08239937099115,103.45495982082369,95.44008483563097,99.37652917429014,98.54494804388338,96.36081437529131,98.50845458451359,99.35248212843788,91.33134185305217,99.68826753504109,110.17241835935504,107.47211120618059,96.60881085126096,100.15599663909234,101.51859231082025,107.52257674876778,99.99537402099173
